grid_id,cell_code,observation_date,observation_period,latitude,longitude,nighttime_radiance_mean,nighttime_radiance_median,nighttime_radiance_max,nighttime_radiance_min,nighttime_radiance_std,units,valid_pixel_count,native_spatial_resolution,spatial_resolution,source_dataset,source_product,provenance_type
3,CHE_G003,2024-04-01,2024-04-01/2024-04-30,12.925,80.275,8.2234,3.575,36.45,1.81,9.0089,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
4,CHE_G004,2024-04-01,2024-04-01/2024-04-30,12.925,80.325,1.4134,1.365,2.17,1.02,0.2756,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
5,CHE_G005,2024-04-01,2024-04-01/2024-04-30,12.975,80.175,34.0416,31.99,106.28,13.23,13.904,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
6,CHE_G006,2024-04-01,2024-04-01/2024-04-30,12.975,80.225,30.5745,30.78,92.85,9.44,12.2406,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
7,CHE_G007,2024-04-01,2024-04-01/2024-04-30,12.975,80.275,17.0991,7.73,72.49,2.34,16.8628,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
8,CHE_G008,2024-04-01,2024-04-01/2024-04-30,12.975,80.325,1.7426,1.685,2.72,1.16,0.3725,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
9,CHE_G009,2024-04-01,2024-04-01/2024-04-30,13.025,80.175,35.4391,34.595,77.26,15.34,9.7655,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
10,CHE_G010,2024-04-01,2024-04-01/2024-04-30,13.025,80.225,39.7677,39.14,71.53,12.08,10.8953,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
11,CHE_G011,2024-04-01,2024-04-01/2024-04-30,13.025,80.275,24.3859,26.905,69.88,2.91,15.8404,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
12,CHE_G012,2024-04-01,2024-04-01/2024-04-30,13.025,80.325,2.4522,2.22,5.18,1.5,0.796,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
13,CHE_G013,2024-04-01,2024-04-01/2024-04-30,13.075,80.175,40.7878,38.18,88.47,21.01,10.6221,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
14,CHE_G014,2024-04-01,2024-04-01/2024-04-30,13.075,80.225,38.0866,36.575,75.04,23.04,9.1195,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
15,CHE_G015,2024-04-01,2024-04-01/2024-04-30,13.075,80.275,44.4658,45.785,81.35,6.38,12.5671,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
16,CHE_G016,2024-04-01,2024-04-01/2024-04-30,13.075,80.325,6.1097,3.5,44.47,1.92,7.905,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
